index,seconds_since_hr_recording,date_time,Heart rate value,Rate of change,Temperature,Oxygen level,Degree of motion
29,8700,8/16/2022 10:25,101.694046,-1.35183,96,96.64817,1
30,9000,8/16/2022 10:30,100.37111,-1.322936,96,96.677064,1
31,9300,8/16/2022 10:35,102.65278,2.28167,98.28167,100,3
32,9600,8/16/2022 10:40,103.10025,0.44747,98.44747,97.44747,1
33,9900,8/16/2022 10:45,99.07222,-4.02803,96,92.97197,3
34,10200,8/16/2022 10:50,90.805954,-8.266266,96,89.06706733,6
35,10500,8/16/2022 10:55,104.56278,13.756826,101,100,7
36,10800,8/16/2022 11:00,93.97857,-10.58421,96,89.41579,7
37,11100,8/16/2022 11:05,95.662224,1.683654,97.683654,99.683654,1
38,11400,8/16/2022 11:10,93.211426,-2.450798,96,94.549202,3
39,11700,8/16/2022 11:15,93.24881,0.037384,96.537384,97.37071733,1
40,12000,8/16/2022 11:20,92.92095,-0.32786,96.67214,97.67214,1
41,12300,8/16/2022 11:25,96.402855,3.481905,99.481905,100,3
42,12600,8/16/2022 11:30,93.671425,-2.73143,96,94.60190333,3
43,12900,8/16/2022 11:35,93.48381,-0.187615,96,98.812385,1
44,13200,8/16/2022 11:40,93.67667,0.19286,96,97.19286,1
45,13500,8/16/2022 11:45,102.852455,9.175785,101,100,6
46,13800,8/16/2022 11:50,103.56746,0.715005,97.04833833,97.215005,1
47,14100,8/16/2022 11:55,102.055954,-1.511506,97.488494,95.988494,1
48,14400,8/16/2022 12:00,109.66476,7.608806,101,100,6
49,14700,8/16/2022 12:05,106.503334,-3.161426,96,96.838574,3
50,15000,8/16/2022 12:10,91.50714,-14.996194,96,84.003806,7
51,15300,8/16/2022 12:15,90.145,-1.36214,96,97.63786,1
52,15600,8/16/2022 12:20,90.51976,0.37476,96.37476,97.87476,1
53,15900,8/16/2022 12:25,91.97278,1.45302,97.78635333,98.11968667,1
54,16200,8/16/2022 12:30,88.71191,-3.26087,96,93.40579667,3
55,16500,8/16/2022 12:35,88.867775,0.155865,96.155865,96.82253167,1
56,16800,8/16/2022 12:40,89.67857,0.810795,97.810795,97.810795,1
57,17100,8/16/2022 12:45,92.61905,2.94048,98.60714667,100,3
58,17400,8/16/2022 12:50,97.0623,4.44325,99.94325,100,3
59,17700,8/16/2022 12:55,100.66643,3.60413,100.60413,100,3
60,18000,8/16/2022 13:00,98.372856,-2.293574,96,95.03975933,3
61,18300,8/16/2022 13:05,102.3881,4.015244,99.515244,100,3
62,18600,8/16/2022 13:10,97.394844,-4.993256,96,93.006744,3
63,18900,8/16/2022 13:15,89.995,-7.399844,96,90.100156,6
64,19200,8/16/2022 13:20,89.62365,-0.37135,96,99.62865,1
65,19500,8/16/2022 13:25,85.673805,-3.949845,96,94.050155,3
66,19800,8/16/2022 13:30,91.809525,6.13572,101,100,5
67,20100,8/16/2022 13:35,102.07786,10.268335,101,100,7
68,20400,8/16/2022 13:40,95.50278,-6.57508,96,90.42492,5
69,20700,8/16/2022 13:45,87.40913,-8.09365,96,88.23968333,6
70,21000,8/16/2022 13:50,88.613335,1.204205,97.204205,97.87087167,1
71,21300,8/16/2022 13:55,88.05238,-0.560955,96.439045,95.77237833,1
72,21600,8/16/2022 14:00,83.17048,-4.8819,96,93.1181,3
73,21900,8/16/2022 14:05,91.47,8.29952,101,100,6
74,22200,8/16/2022 14:10,83.35833,-8.11167,96,89.22166333,6
75,22500,8/16/2022 14:15,83.17333,-0.185,96.14833333,97.815,1
76,22800,8/16/2022 14:20,84.895,1.72167,99.72167,98.22167,1
77,23100,8/16/2022 14:25,88.81333,3.91833,101,100,3
78,23400,8/16/2022 14:30,93.386665,4.573335,100.573335,100,3
79,23700,8/16/2022 14:35,90.57191,-2.814755,96,94.185245,3
80,24000,8/16/2022 14:40,87.475,-3.09691,96,96.90309,3
81,24300,8/16/2022 14:45,84.04476,-3.43024,96,95.56976,3
82,24600,8/16/2022 14:50,100.07046,16.0257,101,100,8
83,24900,8/16/2022 14:55,88.80167,-11.26879,96,87.73121,7
84,25200,8/16/2022 15:00,93.97222,5.17055,101,100,5
85,25500,8/16/2022 15:05,86.55318,-7.41904,96,92.58096,6
86,25800,8/16/2022 15:10,94.2,7.64682,101,100,6
87,26100,8/16/2022 15:15,94.55,0.35,96,97.35,1
88,26400,8/16/2022 15:20,88.31746,-6.23254,96,92.76746,5
89,26700,8/16/2022 15:25,104.27273,15.95527,101,100,8
90,27000,8/16/2022 15:30,100.300606,-3.972124,96,92.69454267,3
91,27300,8/16/2022 15:35,102.97137,2.670764,98.00409733,99.670764,3
92,27600,8/16/2022 15:40,117.78303,14.81166,101,100,7
93,27900,8/16/2022 15:45,125.99636,8.21333,101,100,6
94,28200,8/16/2022 15:50,118.664444,-7.331916,96,89.33475067,6
95,28500,8/16/2022 15:55,120.900635,2.236191,97.56952433,98.56952433,3
96,28800,8/16/2022 16:00,138.25424,17.353605,101,100,8
97,29100,8/16/2022 16:05,135.30777,-2.94647,96,94.55353,3
98,29400,8/16/2022 16:10,116.36881,-18.93896,96,78.56104,8
99,29700,8/16/2022 16:15,107.30159,-9.06722,96,88.26611333,6
100,30000,8/16/2022 16:20,102.83434,-4.46725,96,91.86608333,3
101,30300,8/16/2022 16:25,99.25389,-3.58045,96,92.91955,3
102,30600,8/16/2022 16:30,94.5981,-4.65579,96,91.84421,3
103,30900,8/16/2022 16:35,100.985,6.3869,101,100,5
104,31200,8/16/2022 16:40,98.45111,-2.53389,96,93.96611,3
105,31500,8/16/2022 16:45,98.514694,0.063584,96.063584,97.063584,1
106,31800,8/16/2022 16:50,98.99134,0.476646,96.14331267,100,1
107,32100,8/16/2022 16:55,95.03333,-3.95801,96,94.04199,3
108,32400,8/16/2022 17:00,90.775795,-4.257535,96,93.742465,3
109,32700,8/16/2022 17:05,92.30318,1.527385,98.027385,98.19405167,1
110,33000,8/16/2022 17:10,94.416664,2.113484,100.113484,99.113484,3
111,33300,8/16/2022 17:15,99.22749,4.810826,100.1441593,100,3
112,33600,8/16/2022 17:20,106.65667,7.42918,101,100,6
113,33900,8/16/2022 17:25,101.561615,-5.095055,96,91.23827833,5
114,34200,8/16/2022 17:30,97.04899,-4.512625,96,93.487375,3
115,34500,8/16/2022 17:35,96.6647,-0.38429,96,99.61571,1
116,34800,8/16/2022 17:40,99.71678,3.05208,98.38541333,100,3
117,35100,8/16/2022 17:45,96.86356,-2.85322,96,93.48011333,3
118,35400,8/16/2022 17:50,99.11195,2.24839,98.58172333,100,3
119,35700,8/16/2022 17:55,76.85633,-22.25562,96,74.41104667,10
120,36000,8/16/2022 18:00,78.51084,1.65451,100.65451,98.65451,1
121,36300,8/16/2022 18:05,79.30167,0.79083,97.12416333,97.79083,1
122,36600,8/16/2022 18:10,83.78571,4.48404,101,100,3
123,36900,8/16/2022 18:15,96.6981,12.91239,101,100,7
124,37200,8/16/2022 18:20,93.19786,-3.50024,96,94.49976,3
125,37500,8/16/2022 18:25,82.37341,-10.82445,96,88.17555,7
126,37800,8/16/2022 18:30,77.02143,-5.35198,96,92.64802,5
127,38100,8/16/2022 18:35,78.618416,1.596986,97.596986,98.26365267,1
128,38400,8/16/2022 18:40,92.68445,14.066034,101,100,7
129,38700,8/16/2022 18:45,87.850555,-4.833895,96,93.166105,3
130,39000,8/16/2022 18:50,87.5904,-0.260155,96.239845,96.239845,1
131,39300,8/16/2022 18:55,99.85657,12.26617,101,100,7
132,39600,8/16/2022 19:00,91.23051,-8.62606,96,88.87394,6
133,39900,8/16/2022 19:05,90.206665,-1.023845,96,97.976155,1
134,40200,8/16/2022 19:10,88.21333,-1.993335,96,95.506665,1
135,40500,8/16/2022 19:15,89.834694,1.621364,100.621364,100,1
136,40800,8/16/2022 19:20,93.13333,3.298636,101,100,3
137,41100,8/16/2022 19:25,95.57727,2.44394,99.44394,99.94394,3
138,41400,8/16/2022 19:30,95.87619,0.29892,99.29892,98.29892,1
139,41700,8/16/2022 19:35,86.34794,-9.52825,96,87.47175,6
140,42000,8/16/2022 19:40,75.95041,-10.39753,96,87.60247,7
141,42300,8/16/2022 19:45,64.36159,-11.58882,96,85.41118,7
142,42600,8/16/2022 19:50,66.486115,2.124525,98.124525,98.624525,3
143,42900,8/16/2022 19:55,68.21389,1.727775,98.06110833,99.727775,1
144,43200,8/16/2022 20:00,66.280914,-1.932976,96,94.567024,1
145,43500,8/16/2022 20:05,68.933334,2.65242,98.65242,99.31908667,3
146,43800,8/16/2022 20:10,72.2,3.266666,100.266666,100,3
147,44100,8/16/2022 20:15,74.99762,2.79762,98.29762,100,3
148,44400,8/16/2022 20:20,74.64333,-0.35429,96,97.64571,1
149,44700,8/16/2022 20:25,76.932144,2.288814,100.288814,98.62214733,3
150,45000,8/16/2022 20:30,76.35119,-0.580954,98.419046,96.919046,1
151,45300,8/16/2022 20:35,76.36667,0.01548,96.51548,100,1
152,45600,8/16/2022 20:40,74.78611,-1.58056,96,95.75277333,1
153,45900,8/16/2022 20:45,75.674446,0.888336,97.22166933,97.388336,1
154,46200,8/16/2022 20:50,70.8946,-4.779846,96,91.55348733,3
155,46500,8/16/2022 20:55,72.08691,1.19231,98.19231,99.19231,1
156,46800,8/16/2022 21:00,71.76428,-0.32263,96,96.17737,1
157,47100,8/16/2022 21:05,72.04786,0.28358,96.78358,97.61691333,1
158,47400,8/16/2022 21:10,69.33945,-2.70841,96,93.95825667,3
159,47700,8/16/2022 21:15,67.926346,-1.413104,96.586896,96.086896,1
160,48000,8/16/2022 21:20,67.67619,-0.250156,96,96.249844,1
161,48300,8/16/2022 21:25,67.32857,-0.34762,98.65238,97.15238,1
162,48600,8/16/2022 21:30,71.72111,4.39254,101,100,3
163,48900,8/16/2022 21:35,71.93968,0.21857,96,96.71857,1
164,49200,8/16/2022 21:40,71.83833,-0.10135,96.89865,99.89865,1
165,49500,8/16/2022 21:45,74.04698,2.20865,101,99.20865,3
166,49800,8/16/2022 21:50,69.665,-4.38198,96,92.61802,3
167,50100,8/16/2022 21:55,70.35714,0.69214,97.69214,100,1
168,50400,8/16/2022 22:00,70.89166,0.53452,97.03452,99.53452,1
169,50700,8/16/2022 22:05,71.63809,0.74643,96.41309667,97.41309667,1
170,51000,8/16/2022 22:10,71.90833,0.27024,99.27024,97.60357333,1
171,51300,8/16/2022 22:15,72.2619,0.35357,97.35357,97.35357,1
172,51600,8/16/2022 22:20,73.599525,1.337625,96.67095833,99.337625,1
173,51900,8/16/2022 22:25,73.30929,-0.290235,97.709765,97.709765,1
174,52200,8/16/2022 22:30,73.49286,0.18357,96.68357,100,1
175,52500,8/16/2022 22:35,76.06984,2.57698,98.91031333,100,3
176,52800,8/16/2022 22:40,78.07301,2.00317,99.00317,100,3
177,53100,8/16/2022 22:45,76.06111,-2.0119,96,94.9881,3
178,53400,8/16/2022 22:50,73.540474,-2.520636,96,94.81269733,3
179,53700,8/16/2022 22:55,72.07273,-1.467744,97.532256,98.532256,1
180,54000,8/16/2022 23:00,75.34167,3.26894,98.93560667,100,3
181,54300,8/16/2022 23:05,72.797775,-2.543895,96,93.956105,3
182,54600,8/16/2022 23:10,71.549286,-1.248489,96,95.751511,1
183,54900,8/16/2022 23:15,71.040306,-0.50898,96,96.82435333,1
184,55200,8/16/2022 23:20,70.83428,-0.206026,96,97.793974,1
185,55500,8/16/2022 23:25,73.44,2.60572,98.27238667,100,3
186,55800,8/16/2022 23:30,72.542854,-0.897146,96,96.602854,1
187,56100,8/16/2022 23:35,75.47619,2.933336,100.933336,99.933336,3
188,56400,8/16/2022 23:40,76.825714,1.349524,97.349524,98.349524,1
189,56700,8/16/2022 23:45,77.83,1.004286,97.004286,97.67095267,1
190,57000,8/16/2022 23:50,79.08357,1.25357,97.58690333,99.25357,1
191,57300,8/16/2022 23:55,80.077774,0.994204,96.994204,97.994204,1
192,57600,8/17/2022 0:00,79.65569,-0.422084,96,96.24458267,1
193,57900,8/17/2022 0:05,79.46,-0.19569,96.30431,99.80431,1
194,58200,8/17/2022 0:10,79.18889,-0.27111,96,96.22889,1
195,58500,8/17/2022 0:15,79.21021,0.02132,96.52132,97.02132,1
196,58800,8/17/2022 0:20,74.42273,-4.78748,96,93.21252,3
197,59100,8/17/2022 0:25,74.041664,-0.381066,96,96.618934,1
198,59400,8/17/2022 0:30,79.236115,5.194451,101,100,5
199,59700,8/17/2022 0:35,76.05,-3.186115,96,93.14721833,3
200,60000,8/17/2022 0:40,76.707146,0.657146,98.657146,96.99047933,1
201,60300,8/17/2022 0:45,77.707146,1,99,99,1
202,60600,8/17/2022 0:50,79.680954,1.973808,99.973808,98.973808,1
203,60900,8/17/2022 0:55,78.026665,-1.654289,96,97.345711,1
204,61200,8/17/2022 1:00,77.33143,-0.695235,96,96.804765,1
205,61500,8/17/2022 1:05,74.346825,-2.984605,96,93.68206167,3
206,61800,8/17/2022 1:10,75.40992,1.063095,96.72976167,98.063095,1
207,62100,8/17/2022 1:15,76.7619,1.35198,98.35198,98.85198,1
208,62400,8/17/2022 1:20,73.99127,-2.77063,96,97.22937,3
209,62700,8/17/2022 1:25,73.04588,-0.94539,96.05461,96.05461,1
210,63000,8/17/2022 1:30,74.06944,1.02356,97.52356,98.02356,1
211,63300,8/17/2022 1:35,73.87215,-0.19729,96.80271,99.80271,1
212,63600,8/17/2022 1:40,76.39047,2.51832,98.51832,100,3
213,63900,8/17/2022 1:45,74.39833,-1.99214,96,95.00786,1
214,64200,8/17/2022 1:50,75.201584,0.803254,96.803254,99.803254,1
215,64500,8/17/2022 1:55,75.8719,0.670316,97.670316,97.670316,1
216,64800,8/17/2022 2:00,77.3381,1.4662,98.4662,98.13286667,1
217,65100,8/17/2022 2:05,76.65833,-0.67977,96.32023,97.32023,1
218,65400,8/17/2022 2:10,74.14286,-2.51547,96,94.48453,3
219,65700,8/17/2022 2:15,75.42667,1.28381,97.28381,99.28381,1
220,66000,8/17/2022 2:20,75.64095,0.21428,97.21428,99.21428,1
221,66300,8/17/2022 2:25,75.34048,-0.30047,96.69953,96.03286333,1
222,66600,8/17/2022 2:30,75.14214,-0.19834,98.80166,96.80166,1
223,66900,8/17/2022 2:35,75.484764,0.342624,98.342624,97.842624,1
224,67200,8/17/2022 2:40,77.98984,2.505076,98.83840933,99.17174267,3
225,67500,8/17/2022 2:45,80.117065,2.127225,98.127225,98.46055833,3
226,67800,8/17/2022 2:50,77.18492,-2.932145,96.067855,93.567855,3
227,68100,8/17/2022 2:55,79.43135,2.24643,98.24643,98.91309667,3
228,68400,8/17/2022 3:00,78.32167,-1.10968,96,96.89032,1
229,68700,8/17/2022 3:05,74.47238,-3.84929,96,92.48404333,3
230,69000,8/17/2022 3:10,80.85818,6.3858,101,100,5
231,69300,8/17/2022 3:15,82.130714,1.272534,99.272534,100,1
232,69600,8/17/2022 3:20,80.98929,-1.141424,96,95.19190933,1
233,69900,8/17/2022 3:25,72.03333,-8.95596,96,91.04404,6
234,70200,8/17/2022 3:30,72.17,0.13667,97.13667,97.13667,1
235,70500,8/17/2022 3:35,74.23929,2.06929,98.06929,99.06929,3
236,70800,8/17/2022 3:40,75.81079,1.5715,98.0715,100,1
237,71100,8/17/2022 3:45,75.95016,0.13937,97.13937,97.63937,1
238,71400,8/17/2022 3:50,71.21429,-4.73587,96,91.76413,3
239,71700,8/17/2022 3:55,73.22278,2.00849,98.00849,100,3
240,72000,8/17/2022 4:00,74.64889,1.42611,97.09277667,98.42611,1
241,72300,8/17/2022 4:05,72.333336,-2.315554,96,97.684446,3
242,72600,8/17/2022 4:10,73.191666,0.85833,96.85833,97.85833,1
243,72900,8/17/2022 4:15,74.21214,1.020474,96.35380733,97.68714067,1
244,73200,8/17/2022 4:20,73.908485,-0.303655,96,96.36301167,1
245,73500,8/17/2022 4:25,72.72222,-1.186265,96,96.813735,1
246,73800,8/17/2022 4:30,74.147766,1.425546,100.425546,98.09221267,1
247,74100,8/17/2022 4:35,73.80397,-0.343796,96.656204,99.656204,1
248,74400,8/17/2022 4:40,70.425705,-3.378265,96,94.621735,3
249,74700,8/17/2022 4:45,72.67571,2.250005,98.250005,100,3
250,75000,8/17/2022 4:50,95.155556,22.479846,101,100,10
251,75300,8/17/2022 4:55,108.03905,12.883494,101,100,7
252,75600,8/17/2022 5:00,102.064415,-5.974635,96,90.35869833,5
253,75900,8/17/2022 5:05,104.572525,2.50811,98.17477667,100,3
254,76200,8/17/2022 5:10,107.68444,3.111915,100.111915,100,3
255,76500,8/17/2022 5:15,113.39434,5.7099,101,100,5
256,76800,8/17/2022 5:20,106.917274,-6.477066,96,90.522934,5
257,77100,8/17/2022 5:25,102.67889,-4.238384,96,92.761616,3
258,77400,8/17/2022 5:30,108.873634,6.194744,101,100,5
259,77700,8/17/2022 5:35,109.897766,1.024132,98.024132,99.024132,1
260,78000,8/17/2022 5:40,110.708336,0.81057,97.31057,97.31057,1
261,78300,8/17/2022 5:45,104.02263,-6.685706,96,89.814294,5
262,78600,8/17/2022 5:50,108.23,4.20737,100.20737,100,3
263,78900,8/17/2022 5:55,104.49,-3.74,96,93.26,3
264,79200,8/17/2022 6:00,103.54508,-0.94492,98.05508,97.05508,1
265,79500,8/17/2022 6:05,100.607445,-2.937635,96,94.062365,3
266,79800,8/17/2022 6:10,97.95722,-2.650225,96,94.68310833,3
267,80100,8/17/2022 6:15,97.11397,-0.84325,97.15675,96.65675,1
268,80400,8/17/2022 6:20,104.75111,7.63714,101,100,6
269,80700,8/17/2022 6:25,110.28413,5.53302,101,100,5
270,81000,8/17/2022 6:30,112.94722,2.66309,98.66309,100,3
271,81300,8/17/2022 6:35,101.97909,-10.96813,96,86.03187,7
272,81600,8/17/2022 6:40,101.30722,-0.67187,96,95.66146333,1
273,81900,8/17/2022 6:45,104.625,3.31778,101,99.65111333,3
274,82200,8/17/2022 6:50,106.37273,1.74773,97.74773,99.74773,1
275,82500,8/17/2022 6:55,103.55381,-2.81892,96,95.18108,3
276,82800,8/17/2022 7:00,110.37899,6.82518,101,100,5
277,83100,8/17/2022 7:05,107.04232,-3.33667,96,93.66333,3
278,83400,8/17/2022 7:10,107.867676,0.825356,97.325356,97.825356,1
279,83700,8/17/2022 7:15,107.66572,-0.201956,96,96.798044,1
280,84000,8/17/2022 7:20,110.242424,2.576704,99.576704,99.576704,3
281,84300,8/17/2022 7:25,99.83752,-10.404904,96,86.26176267,7
282,84600,8/17/2022 7:30,95.17183,-4.66569,96,92.83431,3
283,84900,8/17/2022 7:35,88.278336,-6.893494,96,89.77317267,5
284,85200,8/17/2022 7:40,90.727776,2.44944,98.44944,99.94944,3
285,85500,8/17/2022 7:45,94.86881,4.141034,100.141034,100,3
286,85800,8/17/2022 7:50,93.88167,-0.98714,98.01286,96.01286,1
287,86100,8/17/2022 7:55,88.651665,-5.230005,96,92.769995,5
288,86400,8/17/2022 8:00,89.6996,1.047935,97.047935,100,1
289,86700,8/17/2022 8:05,93.75283,4.05323,100.3865633,100,3
290,87000,8/17/2022 8:10,104.62626,10.87343,101,100,7
291,87300,8/17/2022 8:15,105.91469,1.28843,96.78843,97.95509667,1
292,87600,8/17/2022 8:20,107.32505,1.41036,96.91036,98.41036,1
293,87900,8/17/2022 8:25,102.375,-4.95005,96,91.71661667,3
294,88200,8/17/2022 8:30,97.24722,-5.12778,96,91.37222,5
295,88500,8/17/2022 8:35,101.1053,3.85808,99.85808,100,3
296,88800,8/17/2022 8:40,103.47389,2.36859,98.86859,99.70192333,3
297,89100,8/17/2022 8:45,95.91223,-7.56166,96,89.43834,6
298,89400,8/17/2022 8:50,94.60571,-1.30652,96,95.69348,1
299,89700,8/17/2022 8:55,104.33691,9.7312,101,100,6
300,90000,8/17/2022 9:00,86.8811,-17.45581,96,79.21085667,8
301,90300,8/17/2022 9:05,88.173805,1.292705,96.95937167,97.62603833,1
302,90600,8/17/2022 9:10,86.263336,-1.910469,96,95.089531,1
303,90900,8/17/2022 9:15,97.94603,11.682694,101,100,7
304,91200,8/17/2022 9:20,104.29141,6.34538,101,100,5
305,91500,8/17/2022 9:25,114.42,10.12859,101,100,7
306,91800,8/17/2022 9:30,123.48323,9.06323,101,100,6
307,92100,8/17/2022 9:35,110.13273,-13.3505,96,86.6495,7
308,92400,8/17/2022 9:40,108.29855,-1.83418,96,95.16582,1
309,92700,8/17/2022 9:45,106.20214,-2.09641,96,94.90359,3
310,93000,8/17/2022 9:50,105.655556,-0.546584,97.453416,96.78674933,1
311,93300,8/17/2022 9:55,103.291115,-2.364441,96,94.30222567,3
312,93600,8/17/2022 10:00,103.21349,-0.077625,96,96.922375,1
313,93900,8/17/2022 10:05,93.95101,-9.26248,96,89.73752,6
314,94200,8/17/2022 10:10,86.063095,-7.887915,96,88.612085,6
315,94500,8/17/2022 10:15,77.56476,-8.498335,96,88.16833167,6
316,94800,8/17/2022 10:20,77.647385,0.082625,96.082625,97.082625,1
317,95100,8/17/2022 10:25,77.384125,-0.26326,98.73674,97.23674,1
318,95400,8/17/2022 10:30,77.24286,-0.141265,96,99.858735,1
319,95700,8/17/2022 10:35,78.12666,0.8838,96.3838,97.8838,1
320,96000,8/17/2022 10:40,76.537224,-1.589436,96,95.07723067,1
321,96300,8/17/2022 10:45,78.60223,2.065006,101,100,3
322,96600,8/17/2022 10:50,82.41722,3.81499,100.81499,100,3
323,96900,8/17/2022 10:55,91.89135,9.47413,101,100,6
324,97200,8/17/2022 11:00,93.66389,1.77254,97.43920667,98.27254,1
325,97500,8/17/2022 11:05,92.703575,-0.960315,96,96.539685,1
326,97800,8/17/2022 11:10,94.45714,1.753565,97.753565,100,1
327,98100,8/17/2022 11:15,93.02143,-1.43571,96.56429,95.56429,1
328,98400,8/17/2022 11:20,99.61151,6.59008,101,100,5
329,98700,8/17/2022 11:25,104.55563,4.94412,100.94412,100,3
330,99000,8/17/2022 11:30,100.48283,-4.0728,96,92.9272,3
331,99300,8/17/2022 11:35,104.17889,3.69606,100.69606,100,3
332,99600,8/17/2022 11:40,105.82285,1.64396,97.31062667,98.14396,1
333,99900,8/17/2022 11:45,101.28682,-4.53603,96,92.79730333,3
334,100200,8/17/2022 11:50,104.01824,2.73142,98.73142,100,3
335,100500,8/17/2022 11:55,96.085556,-7.932684,96,92.067316,6
336,100800,8/17/2022 12:00,91.70379,-4.381766,96,92.618234,3
337,101100,8/17/2022 12:05,98.61627,6.91248,101,100,5
338,101400,8/17/2022 12:10,101.78222,3.16595,100.16595,100,3
339,101700,8/17/2022 12:15,109.354546,7.572326,101,100,6
340,102000,8/17/2022 12:20,111.235,1.880454,98.21378733,99.21378733,1
341,102300,8/17/2022 12:25,109.39183,-1.84317,96.15683,96.15683,1
342,102600,8/17/2022 12:30,111.630554,2.238724,98.57205733,99.238724,3
343,102900,8/17/2022 12:35,110.618095,-1.012459,96,96.32087433,1
344,103200,8/17/2022 12:40,108.5851,-2.032995,96,94.467005,3
345,103500,8/17/2022 12:45,112.72818,4.14308,100.4764133,100,3
346,103800,8/17/2022 12:50,114.14889,1.42071,100.42071,98.75404333,1
347,104100,8/17/2022 12:55,114.414604,0.265714,96.265714,97.265714,1
348,104400,8/17/2022 13:00,111.15111,-3.263494,96,93.736506,3
349,104700,8/17/2022 13:05,98.64819,-12.50292,96,84.16374667,7
350,105000,8/17/2022 13:10,103.05,4.40181,100.40181,100,3
351,105300,8/17/2022 13:15,107.32389,4.27389,101,100,3
352,105600,8/17/2022 13:20,98.34381,-8.98008,96,87.35325333,6
353,105900,8/17/2022 13:25,95.19833,-3.14548,96,94.85452,3
354,106200,8/17/2022 13:30,99.986145,4.787815,100.787815,100,3
355,106500,8/17/2022 13:35,99.384125,-0.60202,96,95.73131333,1
356,106800,8/17/2022 13:40,87.51278,-11.871345,96,85.128655,7
357,107100,8/17/2022 13:45,96.77778,9.265,101,100,6
358,107400,8/17/2022 13:50,98.92519,2.14741,99.14741,98.48074333,3
359,107700,8/17/2022 13:55,98.13568,-0.78951,98.21049,98.21049,1
360,108000,8/17/2022 14:00,99.102776,0.967096,96.30042933,100,1
361,108300,8/17/2022 14:05,97.86675,-1.236026,96,96.09730733,1
362,108600,8/17/2022 14:10,97.21214,-0.65461,96,96.34539,1
363,108900,8/17/2022 14:15,99.62546,2.41332,101,100,3
364,109200,8/17/2022 14:20,97.55873,-2.06673,96,94.93327,3
365,109500,8/17/2022 14:25,93.95126,-3.60747,96,93.89253,3
366,109800,8/17/2022 14:30,96.96111,3.00985,98.67651667,100,3
367,110100,8/17/2022 14:35,97.005394,0.044284,96,100,1
368,110400,8/17/2022 14:40,104.34798,7.342586,101,100,6
369,110700,8/17/2022 14:45,105.71683,1.36885,97.70218333,99.36885,1
370,111000,8/17/2022 14:50,92.10928,-13.60755,96,83.39245,7
371,111300,8/17/2022 14:55,97.59889,5.48961,100.98961,100,5
372,111600,8/17/2022 15:00,93.035385,-4.563505,96,93.436495,3
373,111900,8/17/2022 15:05,90.33572,-2.699665,96,96.300335,3
374,112200,8/17/2022 15:10,101.2169,10.88118,101,100,7
375,112500,8/17/2022 15:15,96.35595,-4.86095,96,91.80571667,3
376,112800,8/17/2022 15:20,101.940475,5.584525,101,100,5
377,113100,8/17/2022 15:25,97.11984,-4.820635,96,92.679365,3
378,113400,8/17/2022 15:30,114.74944,17.6296,101,100,8
379,113700,8/17/2022 15:35,104.44889,-10.30055,96,87.19945,7
380,114000,8/17/2022 15:40,95.55666,-8.89223,96,88.10777,6
381,114300,8/17/2022 15:45,93.352776,-2.203884,96,94.296116,3
382,114600,8/17/2022 15:50,94.940765,1.587989,97.25465567,98.587989,1
383,114900,8/17/2022 15:55,95.85834,0.917575,96.917575,100,1
